COUNTYNAME,COUNTYFP,YEAR,FuelType,value
Delaware,39041,2016,total_Natural Gas/Propane,0.0
Delaware,39041,2017,total_Natural Gas/Propane,0.0
Delaware,39041,2018,total_Natural Gas/Propane,0.0
Delaware,39041,2019,total_Natural Gas/Propane,0.0
Delaware,39041,2020,total_Natural Gas/Propane,0.0
Delaware,39041,2021,total_Natural Gas/Propane,0.0
Delaware,39041,2022,total_Natural Gas/Propane,0.0
Delaware,39041,2023,total_Natural Gas/Propane,0.0
Delaware,39041,2024,total_Natural Gas/Propane,0.0
Delaware,39041,2000,total_Solar,0
Delaware,39041,2001,total_Solar,0
Delaware,39041,2002,total_Solar,0
Delaware,39041,2003,total_Solar,0
Delaware,39041,2004,total_Solar,0.0
Delaware,39041,2005,total_Solar,0
Delaware,39041,2006,total_Solar,6.720000000000001
Delaware,39041,2007,total_Solar,0
Delaware,39041,2008,total_Solar,0
Delaware,39041,2009,total_Solar,14.850000000000001
Delaware,39041,2010,total_Solar,10.0
Delaware,39041,2011,total_Solar,0
Delaware,39041,2012,total_Solar,84.7
Delaware,39041,2013,total_Solar,72.895
Delaware,39041,2014,total_Solar,561.8
Delaware,39041,2015,total_Solar,114.5
Delaware,39041,2016,total_Solar,232.1
Delaware,39041,2017,total_Solar,1219.5
Delaware,39041,2018,total_Solar,270.6
Delaware,39041,2019,total_Solar,3313.5
Delaware,39041,2020,total_Solar,779.7
Delaware,39041,2021,total_Solar,975.159
Delaware,39041,2022,total_Solar,1346.606
Delaware,39041,2023,total_Solar,1872.644
Delaware,39041,2024,total_Solar,2108.7639999999997
Delaware,39041,2000,total_Waste Gas,0
Delaware,39041,2001,total_Waste Gas,0
Delaware,39041,2002,total_Waste Gas,0
Delaware,39041,2003,total_Waste Gas,0
Delaware,39041,2004,total_Waste Gas,0.0
Delaware,39041,2005,total_Waste Gas,0
Delaware,39041,2006,total_Waste Gas,0.0
Delaware,39041,2007,total_Waste Gas,0
Delaware,39041,2008,total_Waste Gas,0
Delaware,39041,2009,total_Waste Gas,0.0
Delaware,39041,2010,total_Waste Gas,0.0
Delaware,39041,2011,total_Waste Gas,0
Delaware,39041,2012,total_Waste Gas,0.0
Delaware,39041,2013,total_Waste Gas,0.0
Delaware,39041,2014,total_Waste Gas,0.0
Delaware,39041,2015,total_Waste Gas,0.0
Delaware,39041,2016,total_Waste Gas,0.0
Delaware,39041,2017,total_Waste Gas,0.0
Delaware,39041,2018,total_Waste Gas,0.0
Delaware,39041,2019,total_Waste Gas,0.0
Delaware,39041,2020,total_Waste Gas,0.0
Delaware,39041,2021,total_Waste Gas,0.0
Delaware,39041,2022,total_Waste Gas,0.0
Delaware,39041,2023,total_Waste Gas,0.0
Delaware,39041,2024,total_Waste Gas,0.0
Delaware,39041,2000,total_Wind,0
Delaware,39041,2001,total_Wind,0
Delaware,39041,2002,total_Wind,0
Delaware,39041,2003,total_Wind,0
Delaware,39041,2004,total_Wind,1.0
Delaware,39041,2005,total_Wind,0
Delaware,39041,2006,total_Wind,0.0
Delaware,39041,2007,total_Wind,0
Delaware,39041,2008,total_Wind,0
Delaware,39041,2009,total_Wind,10.0
Delaware,39041,2010,total_Wind,15.0
Delaware,39041,2011,total_Wind,0
Delaware,39041,2012,total_Wind,0.0
Delaware,39041,2013,total_Wind,0.0
Delaware,39041,2014,total_Wind,0.0
Delaware,39041,2015,total_Wind,0.0
Delaware,39041,2016,total_Wind,0.0
Delaware,39041,2017,total_Wind,0.0
Delaware,39041,2018,total_Wind,0.0
Delaware,39041,2019,total_Wind,0.0
Delaware,39041,2020,total_Wind,0.0
Delaware,39041,2021,total_Wind,0.0
Delaware,39041,2022,total_Wind,0.0
Delaware,39041,2023,total_Wind,0.0
Delaware,39041,2024,total_Wind,0.0
Fairfield,39045,2000,count_Biofuel,0
Fairfield,39045,2001,count_Biofuel,0
Fairfield,39045,2002,count_Biofuel,0
Fairfield,39045,2003,count_Biofuel,0
Fairfield,39045,2004,count_Biofuel,0
Fairfield,39045,2005,count_Biofuel,0
Fairfield,39045,2006,count_Biofuel,0
Fairfield,39045,2007,count_Biofuel,0
Fairfield,39045,2008,count_Biofuel,0
Fairfield,39045,2009,count_Biofuel,0
