NAME,GEOIDFQ,SUMLEVEL,YEAR,METRIC,FUEL_TYPE,VALUE
Hocking,0500000US39073,050,2009,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2010,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2011,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2012,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2013,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2014,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2015,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2016,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2017,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2018,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2019,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2020,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2021,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2022,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2023,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2024,Capacity,Solid Waste,0.0
Hocking,0500000US39073,050,2009,Capacity,Wind,0.0
Hocking,0500000US39073,050,2010,Capacity,Wind,0.0
Hocking,0500000US39073,050,2011,Capacity,Wind,0.0
Hocking,0500000US39073,050,2012,Capacity,Wind,0.0
Hocking,0500000US39073,050,2013,Capacity,Wind,0.0
Hocking,0500000US39073,050,2014,Capacity,Wind,0.0
Hocking,0500000US39073,050,2015,Capacity,Wind,0.0
Hocking,0500000US39073,050,2016,Capacity,Wind,0.0
Hocking,0500000US39073,050,2017,Capacity,Wind,0.0
Hocking,0500000US39073,050,2018,Capacity,Wind,0.0
Hocking,0500000US39073,050,2019,Capacity,Wind,0.0
Hocking,0500000US39073,050,2020,Capacity,Wind,0.0
Hocking,0500000US39073,050,2021,Capacity,Wind,0.0
Hocking,0500000US39073,050,2022,Capacity,Wind,0.0
Hocking,0500000US39073,050,2023,Capacity,Wind,0.0
Hocking,0500000US39073,050,2024,Capacity,Wind,0.0
Knox,0500000US39083,050,2009,Facilities,Biomass,0.0
Knox,0500000US39083,050,2010,Facilities,Biomass,0.0
Knox,0500000US39083,050,2011,Facilities,Biomass,0.0
Knox,0500000US39083,050,2012,Facilities,Biomass,0.0
Knox,0500000US39083,050,2013,Facilities,Biomass,0.0
Knox,0500000US39083,050,2014,Facilities,Biomass,0.0
Knox,0500000US39083,050,2015,Facilities,Biomass,0.0
Knox,0500000US39083,050,2016,Facilities,Biomass,0.0
